section,model,bucket,count,average_next_month_return,median_next_month_return,win_rate,average_excess_return,factor,pearson_corr,spearman_corr,label,win_rate_vs_bist100,cagr,bist100_cagr,excess_cagr,max_drawdown,portfolio,top_decile_capture,top_two_decile_capture,top3_capture,top5_capture,average_pre_move_rank,top_bottom_spread,top_quintile_return,bottom_quintile_return
rank_bucket_all_models,ALL,7.0,960,0.034785042141475576,0.02596742510268779,0.5822916666666667,0.003234080017275694,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,8.0,480,0.03767458105386834,0.023311894499845165,0.5875,0.006123618929668453,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,9.0,960,0.03673765906377,0.025662938602335483,0.5979166666666667,0.005186696939570115,,,,,,,,,,,,,,,,,,
rank_bucket_all_models,ALL,10.0,960,0.03916617170132553,0.024830764759366186,0.575,0.00761520957712565,,,,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,score,-0.025499675926440687,-0.02447052244066428,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1608,,,,,expected_return_mid,0.013162049519745969,-0.002948966151614252,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,momentum_1m,0.01504625109645926,-0.01247951355561261,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,momentum_3m,-0.01687875648661821,-0.03516694178166343,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,momentum_6m,-0.005338290712161244,-0.004930075366837045,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,volume_increase,-0.026627438524465318,-0.044684816749151264,,,,,,,,,,,,,,,
forward_correlation,low_volatility,,1632,,,,,volatility,0.14740488826500542,0.1511637538006786,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,score,-0.00602259560184518,-0.0023842794775636657,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1604,,,,,expected_return_mid,-0.02347545912324023,-0.05978783137877155,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,momentum_1m,0.015046251096459289,-0.01247951355561261,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,momentum_3m,-0.016878756486618213,-0.03516694178166343,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,momentum_6m,-0.005338290712161241,-0.004930075366837045,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,volume_increase,-0.0266274385244653,-0.044684816749151264,,,,,,,,,,,,,,,
forward_correlation,mixed_model,,1632,,,,,volatility,0.14740488826500545,0.1511637538006786,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,score,-0.0029622601789904366,0.00013033755048618085,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1584,,,,,expected_return_mid,-0.03254493361560239,-0.06025095047464988,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,momentum_1m,0.01504625109645928,-0.01247951355561261,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,momentum_3m,-0.016878756486618202,-0.03516694178166343,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,momentum_6m,-0.005338290712161239,-0.004930075366837045,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,volume_increase,-0.026627438524465297,-0.044684816749151264,,,,,,,,,,,,,,,
forward_correlation,momentum_heavy,,1632,,,,,volatility,0.1474048882650054,0.1511637538006786,,,,,,,,,,,,,,,
