policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
cash_mode,mixed_model,15,train,39,12,1.0,0.36828758321331123,1.2208251837732145,-0.8525376005599032,-0.2633272898049588,-0.24757740982109977,0.38461538461538464,-1.1868844878621285
cash_mode,mixed_model,15,validation,24,0,1.0,3.5334037285010282,3.2415637612067236,0.2918399672943046,-0.10614260540352516,-0.1617839465479347,0.6666666666666666,0.4128880898205876
cash_mode,momentum_heavy,3,out_of_sample,32,7,1.0,0.4088703045790074,0.590013878393095,-0.18114357381408763,-0.1940083272405574,-0.1675447420399082,0.4375,-0.3504102282952024
cash_mode,momentum_heavy,3,train,39,12,1.0,0.13104200353331286,1.2208251837732145,-1.0897831802399016,-0.33801551575703104,-0.24757740982109977,0.41025641025641024,-1.5606860066257586
cash_mode,momentum_heavy,3,validation,24,0,1.0,4.780797346687794,3.2415637612067236,1.5392335854810701,-0.1168213568437313,-0.1617839465479347,0.625,1.6180908717936076
cash_mode,momentum_heavy,5,out_of_sample,32,7,1.0,0.20124014462517703,0.590013878393095,-0.388773733767918,-0.20831534057943057,-0.1675447420399082,0.40625,-0.6022794149267792
cash_mode,momentum_heavy,5,train,39,12,1.0,0.5503941389113094,1.2208251837732145,-0.6704310448619051,-0.24519634952542857,-0.24757740982109977,0.38461538461538464,-0.9685160516050699
cash_mode,momentum_heavy,5,validation,24,0,1.0,3.95780178965662,3.2415637612067236,0.7162380284498964,-0.15423267857670753,-0.1617839465479347,0.625,0.7202726712964813
cash_mode,momentum_heavy,10,out_of_sample,32,7,1.0,0.19247547834228063,0.590013878393095,-0.3975384000508144,-0.22109248096822176,-0.1675447420399082,0.34375,-0.6678483619872579
cash_mode,momentum_heavy,10,train,39,12,1.0,0.535144110432556,1.2208251837732145,-0.6856810733406584,-0.24042824035845523,-0.24757740982109977,0.38461538461538464,-0.9742298617498766
cash_mode,momentum_heavy,10,validation,24,0,1.0,3.9004499075679337,3.2415637612067236,0.6588861463612101,-0.13397485082038418,-0.1617839465479347,0.6666666666666666,0.724269778053775
cash_mode,momentum_heavy,15,out_of_sample,32,7,1.0,0.3184345283483607,0.590013878393095,-0.2715793500447343,-0.2038365195286388,-0.1675447420399082,0.40625,-0.4761273891020119
cash_mode,momentum_heavy,15,train,39,12,1.0,0.37723433153679076,1.2208251837732145,-0.8435908522364237,-0.26426932795552194,-0.24757740982109977,0.38461538461538464,-1.1798218158397753
cash_mode,momentum_heavy,15,validation,24,0,1.0,3.7114035864474104,3.2415637612067236,0.4698398252406868,-0.10614260540352516,-0.1617839465479347,0.6666666666666666,0.5908879477669697
cash_mode,trend_following,3,out_of_sample,32,7,1.0,0.28756886871656917,0.590013878393095,-0.3024450096765259,-0.20431454094687673,-0.1675447420399082,0.4375,-0.49232409157027934
